# /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T114941-plone-4.0 vs /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T132217-plip9186-image-ids-from-titles.cfg
# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T114941-plone-4.0
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.650 3.000 78 78 0.00 0.010 0.263 1.664 0.018 0.188 0.564 0.688
2 1.325 3.000 159 159 0.00 0.009 0.338 2.705 0.010 0.191 0.870 1.265
3 1.842 4.000 221 221 0.00 0.009 0.376 3.062 0.010 0.134 0.930 1.273
5 2.458 7.000 299 295 1.34 0.009 0.720 6.287 0.021 0.255 2.142 3.425
10 2.350 8.000 305 282 7.54 0.010 1.926 13.281 0.303 1.629 4.063 5.447


# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T132217-plip9186-image-ids-from-titles.cfg
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.692 2.000 83 83 0.00 0.009 0.262 1.675 0.010 0.188 0.566 0.611
2 1.342 4.000 161 161 0.00 0.009 0.289 1.644 0.010 0.191 0.664 0.793
3 1.667 3.000 200 200 0.00 0.009 0.464 4.126 0.011 0.140 1.140 2.018
5 2.150 6.000 262 258 1.53 0.009 0.979 10.726 0.021 0.269 3.026 5.001
10 2.208 8.000 286 265 7.34 0.011 2.238 16.759 0.327 1.831 4.640 6.194


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T114941-plone-4.0
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.975 4.000 117 117 0.00 0.008 0.176 1.664 0.010 0.191 0.352 0.391
2 1.983 5.000 238 238 0.00 0.008 0.226 2.485 0.009 0.205 0.435 0.773
3 2.767 7.000 332 332 0.00 0.007 0.250 2.532 0.010 0.196 0.515 0.739
5 3.692 8.000 443 439 0.90 0.008 0.568 10.439 0.021 0.242 1.392 2.614
10 3.500 9.000 420 397 5.48 0.010 1.986 15.533 0.364 1.279 3.384 8.792


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T132217-plip9186-image-ids-from-titles.cfg
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 1.033 4.000 124 124 0.00 0.007 0.175 1.675 0.009 0.191 0.350 0.396
2 2.008 5.000 241 241 0.00 0.008 0.193 1.442 0.010 0.197 0.428 0.466
3 2.492 6.000 299 299 0.00 0.007 0.310 3.576 0.010 0.205 0.719 1.096
5 3.217 9.000 386 382 1.04 0.008 0.768 10.597 0.020 0.271 1.779 4.526
10 3.283 9.000 394 373 5.33 0.011 2.253 15.123 0.351 1.507 3.548 10.590


# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T114941-plone-4.0 and /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T132217-plip9186-image-ids-from-titles.cfg
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95 CUs-2 SPPS-2 maxSPPS-2 TOTAL-2 SUCCESS-2 ERROR-2 MIN-2 AVG-2 MAX-2 P10-2 MED-2 P90-2 P95-2
1 0.650 3.000 78 78 0.00 0.010 0.263 1.664 0.018 0.188 0.564 0.688 1 0.692 2.000 83 83 0.00 0.009 0.262 1.675 0.010 0.188 0.566 0.611
2 1.325 3.000 159 159 0.00 0.009 0.338 2.705 0.010 0.191 0.870 1.265 2 1.342 4.000 161 161 0.00 0.009 0.289 1.644 0.010 0.191 0.664 0.793
3 1.842 4.000 221 221 0.00 0.009 0.376 3.062 0.010 0.134 0.930 1.273 3 1.667 3.000 200 200 0.00 0.009 0.464 4.126 0.011 0.140 1.140 2.018
5 2.458 7.000 299 295 1.34 0.009 0.720 6.287 0.021 0.255 2.142 3.425 5 2.150 6.000 262 258 1.53 0.009 0.979 10.726 0.021 0.269 3.026 5.001
10 2.350 8.000 305 282 7.54 0.010 1.926 13.281 0.303 1.629 4.063 5.447 10 2.208 8.000 286 265 7.34 0.011 2.238 16.759 0.327 1.831 4.640 6.194


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T114941-plone-4.0 and /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T132217-plip9186-image-ids-from-titles.cfg
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95 CUs-2 RPS-2 maxRPS-2 TOTAL-2 SUCCESS-2 ERROR-2 MIN-2 AVG-2 MAX-2 P10-2 MED-2 P90-2 P95-2
1 0.975 4.000 117 117 0.00 0.008 0.176 1.664 0.010 0.191 0.352 0.391 1 1.033 4.000 124 124 0.00 0.007 0.175 1.675 0.009 0.191 0.350 0.396
2 1.983 5.000 238 238 0.00 0.008 0.226 2.485 0.009 0.205 0.435 0.773 2 2.008 5.000 241 241 0.00 0.008 0.193 1.442 0.010 0.197 0.428 0.466
3 2.767 7.000 332 332 0.00 0.007 0.250 2.532 0.010 0.196 0.515 0.739 3 2.492 6.000 299 299 0.00 0.007 0.310 3.576 0.010 0.205 0.719 1.096
5 3.692 8.000 443 439 0.90 0.008 0.568 10.439 0.021 0.242 1.392 2.614 5 3.217 9.000 386 382 1.04 0.008 0.768 10.597 0.020 0.271 1.779 4.526
10 3.500 9.000 420 397 5.48 0.010 1.986 15.533 0.364 1.279 3.384 8.792 10 3.283 9.000 394 373 5.33 0.011 2.253 15.123 0.351 1.507 3.548 10.590
