# /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T114941-plone-4.0 vs /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T150043-plip9250-jqtools-integration.cfg
# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T114941-plone-4.0
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.650 3.000 78 78 0.00 0.010 0.263 1.664 0.018 0.188 0.564 0.688
2 1.325 3.000 159 159 0.00 0.009 0.338 2.705 0.010 0.191 0.870 1.265
3 1.842 4.000 221 221 0.00 0.009 0.376 3.062 0.010 0.134 0.930 1.273
5 2.458 7.000 299 295 1.34 0.009 0.720 6.287 0.021 0.255 2.142 3.425
10 2.350 8.000 305 282 7.54 0.010 1.926 13.281 0.303 1.629 4.063 5.447


# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T150043-plip9250-jqtools-integration.cfg
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.683 3.000 82 82 0.00 0.011 0.312 4.258 0.021 0.091 0.665 0.747
2 1.325 4.000 159 159 0.00 0.010 0.303 2.518 0.011 0.100 0.715 0.936
3 1.808 4.000 217 217 0.00 0.010 0.432 3.639 0.012 0.111 1.039 1.669
5 2.150 6.000 259 258 0.39 0.010 1.082 11.692 0.022 0.252 3.035 5.843
10 2.158 8.000 278 259 6.83 0.010 2.282 13.701 0.185 1.638 5.541 6.878


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T114941-plone-4.0
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.975 4.000 117 117 0.00 0.008 0.176 1.664 0.010 0.191 0.352 0.391
2 1.983 5.000 238 238 0.00 0.008 0.226 2.485 0.009 0.205 0.435 0.773
3 2.767 7.000 332 332 0.00 0.007 0.250 2.532 0.010 0.196 0.515 0.739
5 3.692 8.000 443 439 0.90 0.008 0.568 10.439 0.021 0.242 1.392 2.614
10 3.500 9.000 420 397 5.48 0.010 1.986 15.533 0.364 1.279 3.384 8.792


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T150043-plip9250-jqtools-integration.cfg
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 1.017 3.000 122 122 0.00 0.009 0.210 4.258 0.011 0.103 0.437 0.502
2 1.983 5.000 238 238 0.00 0.009 0.202 2.310 0.010 0.147 0.462 0.582
3 2.708 6.000 325 325 0.00 0.009 0.288 3.373 0.012 0.207 0.595 0.944
5 3.217 8.000 386 385 0.26 0.010 0.745 11.456 0.021 0.248 1.817 3.623
10 3.233 10.000 388 369 4.90 0.010 2.176 14.232 0.195 1.359 4.140 9.708


# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T114941-plone-4.0 and /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T150043-plip9250-jqtools-integration.cfg
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95 CUs-2 SPPS-2 maxSPPS-2 TOTAL-2 SUCCESS-2 ERROR-2 MIN-2 AVG-2 MAX-2 P10-2 MED-2 P90-2 P95-2
1 0.650 3.000 78 78 0.00 0.010 0.263 1.664 0.018 0.188 0.564 0.688 1 0.683 3.000 82 82 0.00 0.011 0.312 4.258 0.021 0.091 0.665 0.747
2 1.325 3.000 159 159 0.00 0.009 0.338 2.705 0.010 0.191 0.870 1.265 2 1.325 4.000 159 159 0.00 0.010 0.303 2.518 0.011 0.100 0.715 0.936
3 1.842 4.000 221 221 0.00 0.009 0.376 3.062 0.010 0.134 0.930 1.273 3 1.808 4.000 217 217 0.00 0.010 0.432 3.639 0.012 0.111 1.039 1.669
5 2.458 7.000 299 295 1.34 0.009 0.720 6.287 0.021 0.255 2.142 3.425 5 2.150 6.000 259 258 0.39 0.010 1.082 11.692 0.022 0.252 3.035 5.843
10 2.350 8.000 305 282 7.54 0.010 1.926 13.281 0.303 1.629 4.063 5.447 10 2.158 8.000 278 259 6.83 0.010 2.282 13.701 0.185 1.638 5.541 6.878


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T114941-plone-4.0 and /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T150043-plip9250-jqtools-integration.cfg
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95 CUs-2 RPS-2 maxRPS-2 TOTAL-2 SUCCESS-2 ERROR-2 MIN-2 AVG-2 MAX-2 P10-2 MED-2 P90-2 P95-2
1 0.975 4.000 117 117 0.00 0.008 0.176 1.664 0.010 0.191 0.352 0.391 1 1.017 3.000 122 122 0.00 0.009 0.210 4.258 0.011 0.103 0.437 0.502
2 1.983 5.000 238 238 0.00 0.008 0.226 2.485 0.009 0.205 0.435 0.773 2 1.983 5.000 238 238 0.00 0.009 0.202 2.310 0.010 0.147 0.462 0.582
3 2.767 7.000 332 332 0.00 0.007 0.250 2.532 0.010 0.196 0.515 0.739 3 2.708 6.000 325 325 0.00 0.009 0.288 3.373 0.012 0.207 0.595 0.944
5 3.692 8.000 443 439 0.90 0.008 0.568 10.439 0.021 0.242 1.392 2.614 5 3.217 8.000 386 385 0.26 0.010 0.745 11.456 0.021 0.248 1.817 3.623
10 3.500 9.000 420 397 5.48 0.010 1.986 15.533 0.364 1.279 3.384 8.792 10 3.233 10.000 388 369 4.90 0.010 2.176 14.232 0.195 1.359 4.140 9.708
