# /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T114941-plone-4.0 vs /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T153304-plip9256-contentrules-variables.cfg
# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T114941-plone-4.0
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.650 3.000 78 78 0.00 0.010 0.263 1.664 0.018 0.188 0.564 0.688
2 1.325 3.000 159 159 0.00 0.009 0.338 2.705 0.010 0.191 0.870 1.265
3 1.842 4.000 221 221 0.00 0.009 0.376 3.062 0.010 0.134 0.930 1.273
5 2.458 7.000 299 295 1.34 0.009 0.720 6.287 0.021 0.255 2.142 3.425
10 2.350 8.000 305 282 7.54 0.010 1.926 13.281 0.303 1.629 4.063 5.447


# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T153304-plip9256-contentrules-variables.cfg
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.633 3.000 76 76 0.00 0.009 0.363 8.084 0.009 0.095 0.670 0.781
2 1.375 4.000 165 165 0.00 0.009 0.289 1.728 0.010 0.096 0.750 0.841
3 1.925 4.000 231 231 0.00 0.009 0.419 8.798 0.012 0.129 0.928 1.284
5 2.358 6.000 285 283 0.70 0.009 0.867 10.593 0.030 0.248 2.634 3.540
10 2.217 8.000 283 266 6.01 0.012 2.329 16.583 0.250 1.677 5.050 6.147


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T114941-plone-4.0
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.975 4.000 117 117 0.00 0.008 0.176 1.664 0.010 0.191 0.352 0.391
2 1.983 5.000 238 238 0.00 0.008 0.226 2.485 0.009 0.205 0.435 0.773
3 2.767 7.000 332 332 0.00 0.007 0.250 2.532 0.010 0.196 0.515 0.739
5 3.692 8.000 443 439 0.90 0.008 0.568 10.439 0.021 0.242 1.392 2.614
10 3.500 9.000 420 397 5.48 0.010 1.986 15.533 0.364 1.279 3.384 8.792


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T153304-plip9256-contentrules-variables.cfg
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.942 3.000 113 113 0.00 0.007 0.244 8.084 0.009 0.102 0.448 0.535
2 2.058 6.000 247 247 0.00 0.007 0.193 1.485 0.009 0.131 0.465 0.526
3 2.900 6.000 348 348 0.00 0.008 0.278 8.582 0.012 0.186 0.573 0.787
5 3.533 9.000 424 422 0.47 0.008 0.615 10.121 0.024 0.256 1.275 2.807
10 3.292 10.000 395 378 4.30 0.009 2.168 15.010 0.269 1.471 3.563 9.930


# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T114941-plone-4.0 and /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T153304-plip9256-contentrules-variables.cfg
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95 CUs-2 SPPS-2 maxSPPS-2 TOTAL-2 SUCCESS-2 ERROR-2 MIN-2 AVG-2 MAX-2 P10-2 MED-2 P90-2 P95-2
1 0.650 3.000 78 78 0.00 0.010 0.263 1.664 0.018 0.188 0.564 0.688 1 0.633 3.000 76 76 0.00 0.009 0.363 8.084 0.009 0.095 0.670 0.781
2 1.325 3.000 159 159 0.00 0.009 0.338 2.705 0.010 0.191 0.870 1.265 2 1.375 4.000 165 165 0.00 0.009 0.289 1.728 0.010 0.096 0.750 0.841
3 1.842 4.000 221 221 0.00 0.009 0.376 3.062 0.010 0.134 0.930 1.273 3 1.925 4.000 231 231 0.00 0.009 0.419 8.798 0.012 0.129 0.928 1.284
5 2.458 7.000 299 295 1.34 0.009 0.720 6.287 0.021 0.255 2.142 3.425 5 2.358 6.000 285 283 0.70 0.009 0.867 10.593 0.030 0.248 2.634 3.540
10 2.350 8.000 305 282 7.54 0.010 1.926 13.281 0.303 1.629 4.063 5.447 10 2.217 8.000 283 266 6.01 0.012 2.329 16.583 0.250 1.677 5.050 6.147


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T114941-plone-4.0 and /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T153304-plip9256-contentrules-variables.cfg
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95 CUs-2 RPS-2 maxRPS-2 TOTAL-2 SUCCESS-2 ERROR-2 MIN-2 AVG-2 MAX-2 P10-2 MED-2 P90-2 P95-2
1 0.975 4.000 117 117 0.00 0.008 0.176 1.664 0.010 0.191 0.352 0.391 1 0.942 3.000 113 113 0.00 0.007 0.244 8.084 0.009 0.102 0.448 0.535
2 1.983 5.000 238 238 0.00 0.008 0.226 2.485 0.009 0.205 0.435 0.773 2 2.058 6.000 247 247 0.00 0.007 0.193 1.485 0.009 0.131 0.465 0.526
3 2.767 7.000 332 332 0.00 0.007 0.250 2.532 0.010 0.196 0.515 0.739 3 2.900 6.000 348 348 0.00 0.008 0.278 8.582 0.012 0.186 0.573 0.787
5 3.692 8.000 443 439 0.90 0.008 0.568 10.439 0.021 0.242 1.392 2.614 5 3.533 9.000 424 422 0.47 0.008 0.615 10.121 0.024 0.256 1.275 2.807
10 3.500 9.000 420 397 5.48 0.010 1.986 15.533 0.364 1.279 3.384 8.792 10 3.292 10.000 395 378 4.30 0.009 2.168 15.010 0.269 1.471 3.563 9.930
