# /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T114941-plone-4.0 vs /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T160625-plip9258-referencebrowser.cfg
# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T114941-plone-4.0
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.650 3.000 78 78 0.00 0.010 0.263 1.664 0.018 0.188 0.564 0.688
2 1.325 3.000 159 159 0.00 0.009 0.338 2.705 0.010 0.191 0.870 1.265
3 1.842 4.000 221 221 0.00 0.009 0.376 3.062 0.010 0.134 0.930 1.273
5 2.458 7.000 299 295 1.34 0.009 0.720 6.287 0.021 0.255 2.142 3.425
10 2.350 8.000 305 282 7.54 0.010 1.926 13.281 0.303 1.629 4.063 5.447


# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T160625-plip9258-referencebrowser.cfg
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.667 2.000 80 80 0.00 0.010 0.407 11.837 0.010 0.093 0.678 0.784
2 1.317 4.000 158 158 0.00 0.010 0.284 2.042 0.011 0.100 0.694 0.790
3 1.817 5.000 218 218 0.00 0.010 0.447 4.557 0.011 0.132 1.148 1.860
5 2.167 6.000 261 260 0.38 0.010 1.061 10.104 0.025 0.257 3.693 4.842
10 2.167 8.000 278 260 6.47 0.014 2.306 11.236 0.251 1.486 6.075 7.500


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T114941-plone-4.0
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.975 4.000 117 117 0.00 0.008 0.176 1.664 0.010 0.191 0.352 0.391
2 1.983 5.000 238 238 0.00 0.008 0.226 2.485 0.009 0.205 0.435 0.773
3 2.767 7.000 332 332 0.00 0.007 0.250 2.532 0.010 0.196 0.515 0.739
5 3.692 8.000 443 439 0.90 0.008 0.568 10.439 0.021 0.242 1.392 2.614
10 3.500 9.000 420 397 5.48 0.010 1.986 15.533 0.364 1.279 3.384 8.792


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T160625-plip9258-referencebrowser.cfg
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.992 3.000 119 119 0.00 0.009 0.273 11.837 0.010 0.101 0.440 0.528
2 1.975 5.000 237 237 0.00 0.009 0.190 1.825 0.011 0.104 0.453 0.492
3 2.717 6.000 326 326 0.00 0.008 0.299 4.327 0.011 0.198 0.609 0.951
5 3.250 9.000 390 389 0.26 0.009 0.733 9.892 0.021 0.252 1.855 3.715
10 3.225 11.000 387 369 4.65 0.014 2.206 14.806 0.202 1.301 4.637 8.924


# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T114941-plone-4.0 and /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T160625-plip9258-referencebrowser.cfg
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95 CUs-2 SPPS-2 maxSPPS-2 TOTAL-2 SUCCESS-2 ERROR-2 MIN-2 AVG-2 MAX-2 P10-2 MED-2 P90-2 P95-2
1 0.650 3.000 78 78 0.00 0.010 0.263 1.664 0.018 0.188 0.564 0.688 1 0.667 2.000 80 80 0.00 0.010 0.407 11.837 0.010 0.093 0.678 0.784
2 1.325 3.000 159 159 0.00 0.009 0.338 2.705 0.010 0.191 0.870 1.265 2 1.317 4.000 158 158 0.00 0.010 0.284 2.042 0.011 0.100 0.694 0.790
3 1.842 4.000 221 221 0.00 0.009 0.376 3.062 0.010 0.134 0.930 1.273 3 1.817 5.000 218 218 0.00 0.010 0.447 4.557 0.011 0.132 1.148 1.860
5 2.458 7.000 299 295 1.34 0.009 0.720 6.287 0.021 0.255 2.142 3.425 5 2.167 6.000 261 260 0.38 0.010 1.061 10.104 0.025 0.257 3.693 4.842
10 2.350 8.000 305 282 7.54 0.010 1.926 13.281 0.303 1.629 4.063 5.447 10 2.167 8.000 278 260 6.47 0.014 2.306 11.236 0.251 1.486 6.075 7.500


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T114941-plone-4.0 and /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T160625-plip9258-referencebrowser.cfg
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95 CUs-2 RPS-2 maxRPS-2 TOTAL-2 SUCCESS-2 ERROR-2 MIN-2 AVG-2 MAX-2 P10-2 MED-2 P90-2 P95-2
1 0.975 4.000 117 117 0.00 0.008 0.176 1.664 0.010 0.191 0.352 0.391 1 0.992 3.000 119 119 0.00 0.009 0.273 11.837 0.010 0.101 0.440 0.528
2 1.983 5.000 238 238 0.00 0.008 0.226 2.485 0.009 0.205 0.435 0.773 2 1.975 5.000 237 237 0.00 0.009 0.190 1.825 0.011 0.104 0.453 0.492
3 2.767 7.000 332 332 0.00 0.007 0.250 2.532 0.010 0.196 0.515 0.739 3 2.717 6.000 326 326 0.00 0.008 0.299 4.327 0.011 0.198 0.609 0.951
5 3.692 8.000 443 439 0.90 0.008 0.568 10.439 0.021 0.242 1.392 2.614 5 3.250 9.000 390 389 0.26 0.009 0.733 9.892 0.021 0.252 1.855 3.715
10 3.500 9.000 420 397 5.48 0.010 1.986 15.533 0.364 1.279 3.384 8.792 10 3.225 11.000 387 369 4.65 0.014 2.206 14.806 0.202 1.301 4.637 8.924
