# /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T114941-plone-4.0 vs /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T171241-plip9263-sharing-gs.cfg
# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T114941-plone-4.0
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.650 3.000 78 78 0.00 0.010 0.263 1.664 0.018 0.188 0.564 0.688
2 1.325 3.000 159 159 0.00 0.009 0.338 2.705 0.010 0.191 0.870 1.265
3 1.842 4.000 221 221 0.00 0.009 0.376 3.062 0.010 0.134 0.930 1.273
5 2.458 7.000 299 295 1.34 0.009 0.720 6.287 0.021 0.255 2.142 3.425
10 2.350 8.000 305 282 7.54 0.010 1.926 13.281 0.303 1.629 4.063 5.447


# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T171241-plip9263-sharing-gs.cfg
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.550 2.000 66 66 0.00 0.009 0.574 19.422 0.010 0.101 0.689 0.951
2 1.375 3.000 165 165 0.00 0.009 0.305 2.188 0.010 0.099 0.729 0.931
3 1.775 5.000 213 213 0.00 0.009 0.408 3.443 0.011 0.103 1.028 1.567
5 2.133 6.000 258 256 0.78 0.009 1.108 11.465 0.023 0.314 3.554 5.149
10 2.050 7.000 263 246 6.46 0.009 2.595 12.865 0.259 2.133 5.978 7.539


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T114941-plone-4.0
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.975 4.000 117 117 0.00 0.008 0.176 1.664 0.010 0.191 0.352 0.391
2 1.983 5.000 238 238 0.00 0.008 0.226 2.485 0.009 0.205 0.435 0.773
3 2.767 7.000 332 332 0.00 0.007 0.250 2.532 0.010 0.196 0.515 0.739
5 3.692 8.000 443 439 0.90 0.008 0.568 10.439 0.021 0.242 1.392 2.614
10 3.500 9.000 420 397 5.48 0.010 1.986 15.533 0.364 1.279 3.384 8.792


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T171241-plip9263-sharing-gs.cfg
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.825 3.000 99 99 0.00 0.008 0.382 19.422 0.009 0.104 0.451 0.578
2 2.058 5.000 247 247 0.00 0.008 0.204 1.954 0.009 0.108 0.456 0.603
3 2.658 6.000 319 319 0.00 0.007 0.272 3.214 0.010 0.164 0.552 0.907
5 3.217 8.000 386 384 0.52 0.008 0.790 11.670 0.023 0.290 2.014 3.787
10 3.067 9.000 368 351 4.62 0.009 2.420 16.550 0.291 1.664 4.915 9.103


# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T114941-plone-4.0 and /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T171241-plip9263-sharing-gs.cfg
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95 CUs-2 SPPS-2 maxSPPS-2 TOTAL-2 SUCCESS-2 ERROR-2 MIN-2 AVG-2 MAX-2 P10-2 MED-2 P90-2 P95-2
1 0.650 3.000 78 78 0.00 0.010 0.263 1.664 0.018 0.188 0.564 0.688 1 0.550 2.000 66 66 0.00 0.009 0.574 19.422 0.010 0.101 0.689 0.951
2 1.325 3.000 159 159 0.00 0.009 0.338 2.705 0.010 0.191 0.870 1.265 2 1.375 3.000 165 165 0.00 0.009 0.305 2.188 0.010 0.099 0.729 0.931
3 1.842 4.000 221 221 0.00 0.009 0.376 3.062 0.010 0.134 0.930 1.273 3 1.775 5.000 213 213 0.00 0.009 0.408 3.443 0.011 0.103 1.028 1.567
5 2.458 7.000 299 295 1.34 0.009 0.720 6.287 0.021 0.255 2.142 3.425 5 2.133 6.000 258 256 0.78 0.009 1.108 11.465 0.023 0.314 3.554 5.149
10 2.350 8.000 305 282 7.54 0.010 1.926 13.281 0.303 1.629 4.063 5.447 10 2.050 7.000 263 246 6.46 0.009 2.595 12.865 0.259 2.133 5.978 7.539


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T114941-plone-4.0 and /home/xen/src/plone-coredev/plips/funkload/plips/test_ContentCreation-20090902T171241-plip9263-sharing-gs.cfg
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95 CUs-2 RPS-2 maxRPS-2 TOTAL-2 SUCCESS-2 ERROR-2 MIN-2 AVG-2 MAX-2 P10-2 MED-2 P90-2 P95-2
1 0.975 4.000 117 117 0.00 0.008 0.176 1.664 0.010 0.191 0.352 0.391 1 0.825 3.000 99 99 0.00 0.008 0.382 19.422 0.009 0.104 0.451 0.578
2 1.983 5.000 238 238 0.00 0.008 0.226 2.485 0.009 0.205 0.435 0.773 2 2.058 5.000 247 247 0.00 0.008 0.204 1.954 0.009 0.108 0.456 0.603
3 2.767 7.000 332 332 0.00 0.007 0.250 2.532 0.010 0.196 0.515 0.739 3 2.658 6.000 319 319 0.00 0.007 0.272 3.214 0.010 0.164 0.552 0.907
5 3.692 8.000 443 439 0.90 0.008 0.568 10.439 0.021 0.242 1.392 2.614 5 3.217 8.000 386 384 0.52 0.008 0.790 11.670 0.023 0.290 2.014 3.787
10 3.500 9.000 420 397 5.48 0.010 1.986 15.533 0.364 1.279 3.384 8.792 10 3.067 9.000 368 351 4.62 0.009 2.420 16.550 0.291 1.664 4.915 9.103
