# /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T120034-plone-4.0 vs /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T133307-plip9186-image-ids-from-titles.cfg
# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T120034-plone-4.0
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.833 3.000 50 50 0.00 0.066 0.096 0.236 0.076 0.094 0.111 0.118
2 1.567 5.000 94 94 0.00 0.056 0.102 0.528 0.076 0.093 0.111 0.120
3 2.217 5.000 133 133 0.00 0.057 0.100 0.457 0.077 0.094 0.118 0.132
5 3.600 8.000 216 216 0.00 0.056 0.125 0.432 0.076 0.103 0.211 0.231
10 7.067 11.000 424 424 0.00 0.056 0.181 0.876 0.077 0.139 0.328 0.423
15 9.967 18.000 598 598 0.00 0.057 0.308 1.024 0.100 0.263 0.577 0.693
20 11.667 17.000 700 700 0.00 0.055 0.495 1.333 0.182 0.468 0.824 0.913


# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T133307-plip9186-image-ids-from-titles.cfg
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.783 2.000 47 47 0.00 0.070 0.097 0.228 0.076 0.101 0.111 0.112
2 1.483 3.000 89 89 0.00 0.060 0.099 0.450 0.077 0.093 0.111 0.119
3 2.367 5.000 142 142 0.00 0.056 0.098 0.444 0.077 0.092 0.116 0.128
5 3.667 6.000 220 220 0.00 0.055 0.123 0.541 0.077 0.102 0.215 0.256
10 7.133 13.000 428 428 0.00 0.057 0.190 0.713 0.078 0.160 0.355 0.466
15 10.067 15.000 604 604 0.00 0.056 0.283 1.121 0.102 0.252 0.526 0.598
20 11.850 20.000 711 711 0.00 0.056 0.521 1.370 0.200 0.492 0.891 0.978


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T120034-plone-4.0
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.833 3.000 50 50 0.00 0.066 0.096 0.236 0.076 0.094 0.111 0.118
2 1.567 5.000 94 94 0.00 0.056 0.102 0.528 0.076 0.093 0.111 0.120
3 2.217 5.000 133 133 0.00 0.057 0.100 0.457 0.077 0.094 0.118 0.132
5 3.600 8.000 216 216 0.00 0.056 0.125 0.432 0.076 0.103 0.211 0.231
10 7.067 11.000 424 424 0.00 0.056 0.181 0.876 0.077 0.139 0.328 0.423
15 9.967 18.000 598 598 0.00 0.057 0.308 1.024 0.100 0.263 0.577 0.693
20 11.667 17.000 700 700 0.00 0.055 0.495 1.333 0.182 0.468 0.824 0.913


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T133307-plip9186-image-ids-from-titles.cfg
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.783 2.000 47 47 0.00 0.070 0.097 0.228 0.076 0.101 0.111 0.112
2 1.483 3.000 89 89 0.00 0.060 0.099 0.450 0.077 0.093 0.111 0.119
3 2.367 5.000 142 142 0.00 0.056 0.098 0.444 0.077 0.092 0.116 0.128
5 3.667 6.000 220 220 0.00 0.055 0.123 0.541 0.077 0.102 0.215 0.256
10 7.133 13.000 428 428 0.00 0.057 0.190 0.713 0.078 0.160 0.355 0.466
15 10.067 15.000 604 604 0.00 0.056 0.283 1.121 0.102 0.252 0.526 0.598
20 11.850 20.000 711 711 0.00 0.056 0.521 1.370 0.200 0.492 0.891 0.978


# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T120034-plone-4.0 and /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T133307-plip9186-image-ids-from-titles.cfg
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95 CUs-2 SPPS-2 maxSPPS-2 TOTAL-2 SUCCESS-2 ERROR-2 MIN-2 AVG-2 MAX-2 P10-2 MED-2 P90-2 P95-2
1 0.833 3.000 50 50 0.00 0.066 0.096 0.236 0.076 0.094 0.111 0.118 1 0.783 2.000 47 47 0.00 0.070 0.097 0.228 0.076 0.101 0.111 0.112
2 1.567 5.000 94 94 0.00 0.056 0.102 0.528 0.076 0.093 0.111 0.120 2 1.483 3.000 89 89 0.00 0.060 0.099 0.450 0.077 0.093 0.111 0.119
3 2.217 5.000 133 133 0.00 0.057 0.100 0.457 0.077 0.094 0.118 0.132 3 2.367 5.000 142 142 0.00 0.056 0.098 0.444 0.077 0.092 0.116 0.128
5 3.600 8.000 216 216 0.00 0.056 0.125 0.432 0.076 0.103 0.211 0.231 5 3.667 6.000 220 220 0.00 0.055 0.123 0.541 0.077 0.102 0.215 0.256
10 7.067 11.000 424 424 0.00 0.056 0.181 0.876 0.077 0.139 0.328 0.423 10 7.133 13.000 428 428 0.00 0.057 0.190 0.713 0.078 0.160 0.355 0.466
15 9.967 18.000 598 598 0.00 0.057 0.308 1.024 0.100 0.263 0.577 0.693 15 10.067 15.000 604 604 0.00 0.056 0.283 1.121 0.102 0.252 0.526 0.598
20 11.667 17.000 700 700 0.00 0.055 0.495 1.333 0.182 0.468 0.824 0.913 20 11.850 20.000 711 711 0.00 0.056 0.521 1.370 0.200 0.492 0.891 0.978


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T120034-plone-4.0 and /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T133307-plip9186-image-ids-from-titles.cfg
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95 CUs-2 RPS-2 maxRPS-2 TOTAL-2 SUCCESS-2 ERROR-2 MIN-2 AVG-2 MAX-2 P10-2 MED-2 P90-2 P95-2
1 0.833 3.000 50 50 0.00 0.066 0.096 0.236 0.076 0.094 0.111 0.118 1 0.783 2.000 47 47 0.00 0.070 0.097 0.228 0.076 0.101 0.111 0.112
2 1.567 5.000 94 94 0.00 0.056 0.102 0.528 0.076 0.093 0.111 0.120 2 1.483 3.000 89 89 0.00 0.060 0.099 0.450 0.077 0.093 0.111 0.119
3 2.217 5.000 133 133 0.00 0.057 0.100 0.457 0.077 0.094 0.118 0.132 3 2.367 5.000 142 142 0.00 0.056 0.098 0.444 0.077 0.092 0.116 0.128
5 3.600 8.000 216 216 0.00 0.056 0.125 0.432 0.076 0.103 0.211 0.231 5 3.667 6.000 220 220 0.00 0.055 0.123 0.541 0.077 0.102 0.215 0.256
10 7.067 11.000 424 424 0.00 0.056 0.181 0.876 0.077 0.139 0.328 0.423 10 7.133 13.000 428 428 0.00 0.057 0.190 0.713 0.078 0.160 0.355 0.466
15 9.967 18.000 598 598 0.00 0.057 0.308 1.024 0.100 0.263 0.577 0.693 15 10.067 15.000 604 604 0.00 0.056 0.283 1.121 0.102 0.252 0.526 0.598
20 11.667 17.000 700 700 0.00 0.055 0.495 1.333 0.182 0.468 0.824 0.913 20 11.850 20.000 711 711 0.00 0.056 0.521 1.370 0.200 0.492 0.891 0.978
