# /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T120034-plone-4.0 vs /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T140554-plip9214-emaillogins.cfg
# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T120034-plone-4.0
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.833 3.000 50 50 0.00 0.066 0.096 0.236 0.076 0.094 0.111 0.118
2 1.567 5.000 94 94 0.00 0.056 0.102 0.528 0.076 0.093 0.111 0.120
3 2.217 5.000 133 133 0.00 0.057 0.100 0.457 0.077 0.094 0.118 0.132
5 3.600 8.000 216 216 0.00 0.056 0.125 0.432 0.076 0.103 0.211 0.231
10 7.067 11.000 424 424 0.00 0.056 0.181 0.876 0.077 0.139 0.328 0.423
15 9.967 18.000 598 598 0.00 0.057 0.308 1.024 0.100 0.263 0.577 0.693
20 11.667 17.000 700 700 0.00 0.055 0.495 1.333 0.182 0.468 0.824 0.913


# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T140554-plip9214-emaillogins.cfg
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.850 2.000 51 51 0.00 0.057 0.107 0.575 0.078 0.099 0.123 0.126
2 1.517 4.000 91 91 0.00 0.057 0.101 0.449 0.078 0.100 0.122 0.124
3 2.333 5.000 140 140 0.00 0.057 0.113 0.447 0.078 0.104 0.172 0.194
5 3.750 7.000 225 225 0.00 0.057 0.120 0.575 0.077 0.105 0.184 0.198
10 7.100 11.000 426 426 0.00 0.057 0.189 0.693 0.080 0.151 0.366 0.421
15 9.817 14.000 589 589 0.00 0.058 0.324 1.094 0.117 0.275 0.590 0.739
20 11.400 18.000 684 684 0.00 0.057 0.566 1.437 0.244 0.548 0.915 1.011


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T120034-plone-4.0
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.833 3.000 50 50 0.00 0.066 0.096 0.236 0.076 0.094 0.111 0.118
2 1.567 5.000 94 94 0.00 0.056 0.102 0.528 0.076 0.093 0.111 0.120
3 2.217 5.000 133 133 0.00 0.057 0.100 0.457 0.077 0.094 0.118 0.132
5 3.600 8.000 216 216 0.00 0.056 0.125 0.432 0.076 0.103 0.211 0.231
10 7.067 11.000 424 424 0.00 0.056 0.181 0.876 0.077 0.139 0.328 0.423
15 9.967 18.000 598 598 0.00 0.057 0.308 1.024 0.100 0.263 0.577 0.693
20 11.667 17.000 700 700 0.00 0.055 0.495 1.333 0.182 0.468 0.824 0.913


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T140554-plip9214-emaillogins.cfg
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.850 2.000 51 51 0.00 0.057 0.107 0.575 0.078 0.099 0.123 0.126
2 1.517 4.000 91 91 0.00 0.057 0.101 0.449 0.078 0.100 0.122 0.124
3 2.333 5.000 140 140 0.00 0.057 0.113 0.447 0.078 0.104 0.172 0.194
5 3.750 7.000 225 225 0.00 0.057 0.120 0.575 0.077 0.105 0.184 0.198
10 7.100 11.000 426 426 0.00 0.057 0.189 0.693 0.080 0.151 0.366 0.421
15 9.817 14.000 589 589 0.00 0.058 0.324 1.094 0.117 0.275 0.590 0.739
20 11.400 18.000 684 684 0.00 0.057 0.566 1.437 0.244 0.548 0.915 1.011


# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T120034-plone-4.0 and /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T140554-plip9214-emaillogins.cfg
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95 CUs-2 SPPS-2 maxSPPS-2 TOTAL-2 SUCCESS-2 ERROR-2 MIN-2 AVG-2 MAX-2 P10-2 MED-2 P90-2 P95-2
1 0.833 3.000 50 50 0.00 0.066 0.096 0.236 0.076 0.094 0.111 0.118 1 0.850 2.000 51 51 0.00 0.057 0.107 0.575 0.078 0.099 0.123 0.126
2 1.567 5.000 94 94 0.00 0.056 0.102 0.528 0.076 0.093 0.111 0.120 2 1.517 4.000 91 91 0.00 0.057 0.101 0.449 0.078 0.100 0.122 0.124
3 2.217 5.000 133 133 0.00 0.057 0.100 0.457 0.077 0.094 0.118 0.132 3 2.333 5.000 140 140 0.00 0.057 0.113 0.447 0.078 0.104 0.172 0.194
5 3.600 8.000 216 216 0.00 0.056 0.125 0.432 0.076 0.103 0.211 0.231 5 3.750 7.000 225 225 0.00 0.057 0.120 0.575 0.077 0.105 0.184 0.198
10 7.067 11.000 424 424 0.00 0.056 0.181 0.876 0.077 0.139 0.328 0.423 10 7.100 11.000 426 426 0.00 0.057 0.189 0.693 0.080 0.151 0.366 0.421
15 9.967 18.000 598 598 0.00 0.057 0.308 1.024 0.100 0.263 0.577 0.693 15 9.817 14.000 589 589 0.00 0.058 0.324 1.094 0.117 0.275 0.590 0.739
20 11.667 17.000 700 700 0.00 0.055 0.495 1.333 0.182 0.468 0.824 0.913 20 11.400 18.000 684 684 0.00 0.057 0.566 1.437 0.244 0.548 0.915 1.011


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T120034-plone-4.0 and /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T140554-plip9214-emaillogins.cfg
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95 CUs-2 RPS-2 maxRPS-2 TOTAL-2 SUCCESS-2 ERROR-2 MIN-2 AVG-2 MAX-2 P10-2 MED-2 P90-2 P95-2
1 0.833 3.000 50 50 0.00 0.066 0.096 0.236 0.076 0.094 0.111 0.118 1 0.850 2.000 51 51 0.00 0.057 0.107 0.575 0.078 0.099 0.123 0.126
2 1.567 5.000 94 94 0.00 0.056 0.102 0.528 0.076 0.093 0.111 0.120 2 1.517 4.000 91 91 0.00 0.057 0.101 0.449 0.078 0.100 0.122 0.124
3 2.217 5.000 133 133 0.00 0.057 0.100 0.457 0.077 0.094 0.118 0.132 3 2.333 5.000 140 140 0.00 0.057 0.113 0.447 0.078 0.104 0.172 0.194
5 3.600 8.000 216 216 0.00 0.056 0.125 0.432 0.076 0.103 0.211 0.231 5 3.750 7.000 225 225 0.00 0.057 0.120 0.575 0.077 0.105 0.184 0.198
10 7.067 11.000 424 424 0.00 0.056 0.181 0.876 0.077 0.139 0.328 0.423 10 7.100 11.000 426 426 0.00 0.057 0.189 0.693 0.080 0.151 0.366 0.421
15 9.967 18.000 598 598 0.00 0.057 0.308 1.024 0.100 0.263 0.577 0.693 15 9.817 14.000 589 589 0.00 0.058 0.324 1.094 0.117 0.275 0.590 0.739
20 11.667 17.000 700 700 0.00 0.055 0.495 1.333 0.182 0.468 0.824 0.913 20 11.400 18.000 684 684 0.00 0.057 0.566 1.437 0.244 0.548 0.915 1.011
