# /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T120034-plone-4.0 vs /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T143848-plip9249-tinymce.cfg
# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T120034-plone-4.0
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.833 3.000 50 50 0.00 0.066 0.096 0.236 0.076 0.094 0.111 0.118
2 1.567 5.000 94 94 0.00 0.056 0.102 0.528 0.076 0.093 0.111 0.120
3 2.217 5.000 133 133 0.00 0.057 0.100 0.457 0.077 0.094 0.118 0.132
5 3.600 8.000 216 216 0.00 0.056 0.125 0.432 0.076 0.103 0.211 0.231
10 7.067 11.000 424 424 0.00 0.056 0.181 0.876 0.077 0.139 0.328 0.423
15 9.967 18.000 598 598 0.00 0.057 0.308 1.024 0.100 0.263 0.577 0.693
20 11.667 17.000 700 700 0.00 0.055 0.495 1.333 0.182 0.468 0.824 0.913


# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T143848-plip9249-tinymce.cfg
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.783 3.000 47 47 0.00 0.059 0.107 0.495 0.079 0.096 0.123 0.124
2 1.533 4.000 92 92 0.00 0.060 0.098 0.181 0.079 0.104 0.117 0.124
3 2.250 5.000 135 135 0.00 0.060 0.112 0.547 0.079 0.096 0.159 0.190
5 3.750 8.000 225 225 0.00 0.058 0.124 0.591 0.079 0.105 0.203 0.227
10 7.367 11.000 442 442 0.00 0.058 0.190 0.939 0.080 0.161 0.312 0.407
15 9.833 14.000 590 590 0.00 0.058 0.344 1.171 0.115 0.301 0.662 0.778
20 11.317 18.000 679 679 0.00 0.059 0.544 1.337 0.237 0.518 0.897 0.997


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T120034-plone-4.0
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.833 3.000 50 50 0.00 0.066 0.096 0.236 0.076 0.094 0.111 0.118
2 1.567 5.000 94 94 0.00 0.056 0.102 0.528 0.076 0.093 0.111 0.120
3 2.217 5.000 133 133 0.00 0.057 0.100 0.457 0.077 0.094 0.118 0.132
5 3.600 8.000 216 216 0.00 0.056 0.125 0.432 0.076 0.103 0.211 0.231
10 7.067 11.000 424 424 0.00 0.056 0.181 0.876 0.077 0.139 0.328 0.423
15 9.967 18.000 598 598 0.00 0.057 0.308 1.024 0.100 0.263 0.577 0.693
20 11.667 17.000 700 700 0.00 0.055 0.495 1.333 0.182 0.468 0.824 0.913


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T143848-plip9249-tinymce.cfg
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.783 3.000 47 47 0.00 0.059 0.107 0.495 0.079 0.096 0.123 0.124
2 1.533 4.000 92 92 0.00 0.060 0.098 0.181 0.079 0.104 0.117 0.124
3 2.250 5.000 135 135 0.00 0.060 0.112 0.547 0.079 0.096 0.159 0.190
5 3.750 8.000 225 225 0.00 0.058 0.124 0.591 0.079 0.105 0.203 0.227
10 7.367 11.000 442 442 0.00 0.058 0.190 0.939 0.080 0.161 0.312 0.407
15 9.833 14.000 590 590 0.00 0.058 0.344 1.171 0.115 0.301 0.662 0.778
20 11.317 18.000 679 679 0.00 0.059 0.544 1.337 0.237 0.518 0.897 0.997


# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T120034-plone-4.0 and /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T143848-plip9249-tinymce.cfg
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95 CUs-2 SPPS-2 maxSPPS-2 TOTAL-2 SUCCESS-2 ERROR-2 MIN-2 AVG-2 MAX-2 P10-2 MED-2 P90-2 P95-2
1 0.833 3.000 50 50 0.00 0.066 0.096 0.236 0.076 0.094 0.111 0.118 1 0.783 3.000 47 47 0.00 0.059 0.107 0.495 0.079 0.096 0.123 0.124
2 1.567 5.000 94 94 0.00 0.056 0.102 0.528 0.076 0.093 0.111 0.120 2 1.533 4.000 92 92 0.00 0.060 0.098 0.181 0.079 0.104 0.117 0.124
3 2.217 5.000 133 133 0.00 0.057 0.100 0.457 0.077 0.094 0.118 0.132 3 2.250 5.000 135 135 0.00 0.060 0.112 0.547 0.079 0.096 0.159 0.190
5 3.600 8.000 216 216 0.00 0.056 0.125 0.432 0.076 0.103 0.211 0.231 5 3.750 8.000 225 225 0.00 0.058 0.124 0.591 0.079 0.105 0.203 0.227
10 7.067 11.000 424 424 0.00 0.056 0.181 0.876 0.077 0.139 0.328 0.423 10 7.367 11.000 442 442 0.00 0.058 0.190 0.939 0.080 0.161 0.312 0.407
15 9.967 18.000 598 598 0.00 0.057 0.308 1.024 0.100 0.263 0.577 0.693 15 9.833 14.000 590 590 0.00 0.058 0.344 1.171 0.115 0.301 0.662 0.778
20 11.667 17.000 700 700 0.00 0.055 0.495 1.333 0.182 0.468 0.824 0.913 20 11.317 18.000 679 679 0.00 0.059 0.544 1.337 0.237 0.518 0.897 0.997


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T120034-plone-4.0 and /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T143848-plip9249-tinymce.cfg
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95 CUs-2 RPS-2 maxRPS-2 TOTAL-2 SUCCESS-2 ERROR-2 MIN-2 AVG-2 MAX-2 P10-2 MED-2 P90-2 P95-2
1 0.833 3.000 50 50 0.00 0.066 0.096 0.236 0.076 0.094 0.111 0.118 1 0.783 3.000 47 47 0.00 0.059 0.107 0.495 0.079 0.096 0.123 0.124
2 1.567 5.000 94 94 0.00 0.056 0.102 0.528 0.076 0.093 0.111 0.120 2 1.533 4.000 92 92 0.00 0.060 0.098 0.181 0.079 0.104 0.117 0.124
3 2.217 5.000 133 133 0.00 0.057 0.100 0.457 0.077 0.094 0.118 0.132 3 2.250 5.000 135 135 0.00 0.060 0.112 0.547 0.079 0.096 0.159 0.190
5 3.600 8.000 216 216 0.00 0.056 0.125 0.432 0.076 0.103 0.211 0.231 5 3.750 8.000 225 225 0.00 0.058 0.124 0.591 0.079 0.105 0.203 0.227
10 7.067 11.000 424 424 0.00 0.056 0.181 0.876 0.077 0.139 0.328 0.423 10 7.367 11.000 442 442 0.00 0.058 0.190 0.939 0.080 0.161 0.312 0.407
15 9.967 18.000 598 598 0.00 0.057 0.308 1.024 0.100 0.263 0.577 0.693 15 9.833 14.000 590 590 0.00 0.058 0.344 1.171 0.115 0.301 0.662 0.778
20 11.667 17.000 700 700 0.00 0.055 0.495 1.333 0.182 0.468 0.824 0.913 20 11.317 18.000 679 679 0.00 0.059 0.544 1.337 0.237 0.518 0.897 0.997
