# /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T120034-plone-4.0 vs /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T151139-plip9250-jqtools-integration.cfg
# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T120034-plone-4.0
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.833 3.000 50 50 0.00 0.066 0.096 0.236 0.076 0.094 0.111 0.118
2 1.567 5.000 94 94 0.00 0.056 0.102 0.528 0.076 0.093 0.111 0.120
3 2.217 5.000 133 133 0.00 0.057 0.100 0.457 0.077 0.094 0.118 0.132
5 3.600 8.000 216 216 0.00 0.056 0.125 0.432 0.076 0.103 0.211 0.231
10 7.067 11.000 424 424 0.00 0.056 0.181 0.876 0.077 0.139 0.328 0.423
15 9.967 18.000 598 598 0.00 0.057 0.308 1.024 0.100 0.263 0.577 0.693
20 11.667 17.000 700 700 0.00 0.055 0.495 1.333 0.182 0.468 0.824 0.913


# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T151139-plip9250-jqtools-integration.cfg
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.717 2.000 43 43 0.00 0.079 0.103 0.236 0.080 0.099 0.125 0.128
2 1.383 4.000 83 83 0.00 0.076 0.115 0.700 0.079 0.096 0.127 0.214
3 2.433 5.000 146 146 0.00 0.059 0.109 0.623 0.079 0.097 0.138 0.168
5 3.850 8.000 231 231 0.00 0.060 0.125 0.610 0.079 0.105 0.192 0.257
10 6.967 10.000 418 418 0.00 0.059 0.229 1.044 0.082 0.175 0.442 0.633
15 9.867 14.000 592 592 0.00 0.058 0.327 1.205 0.094 0.257 0.694 0.871
20 11.267 18.000 676 676 0.00 0.061 0.594 1.680 0.261 0.529 1.034 1.182


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T120034-plone-4.0
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.833 3.000 50 50 0.00 0.066 0.096 0.236 0.076 0.094 0.111 0.118
2 1.567 5.000 94 94 0.00 0.056 0.102 0.528 0.076 0.093 0.111 0.120
3 2.217 5.000 133 133 0.00 0.057 0.100 0.457 0.077 0.094 0.118 0.132
5 3.600 8.000 216 216 0.00 0.056 0.125 0.432 0.076 0.103 0.211 0.231
10 7.067 11.000 424 424 0.00 0.056 0.181 0.876 0.077 0.139 0.328 0.423
15 9.967 18.000 598 598 0.00 0.057 0.308 1.024 0.100 0.263 0.577 0.693
20 11.667 17.000 700 700 0.00 0.055 0.495 1.333 0.182 0.468 0.824 0.913


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T151139-plip9250-jqtools-integration.cfg
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.717 2.000 43 43 0.00 0.079 0.103 0.236 0.080 0.099 0.125 0.128
2 1.383 4.000 83 83 0.00 0.076 0.115 0.700 0.079 0.096 0.127 0.214
3 2.433 5.000 146 146 0.00 0.059 0.109 0.623 0.079 0.097 0.138 0.168
5 3.850 8.000 231 231 0.00 0.060 0.125 0.610 0.079 0.105 0.192 0.257
10 6.967 10.000 418 418 0.00 0.059 0.229 1.044 0.082 0.175 0.442 0.633
15 9.867 14.000 592 592 0.00 0.058 0.327 1.205 0.094 0.257 0.694 0.871
20 11.267 18.000 676 676 0.00 0.061 0.594 1.680 0.261 0.529 1.034 1.182


# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T120034-plone-4.0 and /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T151139-plip9250-jqtools-integration.cfg
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95 CUs-2 SPPS-2 maxSPPS-2 TOTAL-2 SUCCESS-2 ERROR-2 MIN-2 AVG-2 MAX-2 P10-2 MED-2 P90-2 P95-2
1 0.833 3.000 50 50 0.00 0.066 0.096 0.236 0.076 0.094 0.111 0.118 1 0.717 2.000 43 43 0.00 0.079 0.103 0.236 0.080 0.099 0.125 0.128
2 1.567 5.000 94 94 0.00 0.056 0.102 0.528 0.076 0.093 0.111 0.120 2 1.383 4.000 83 83 0.00 0.076 0.115 0.700 0.079 0.096 0.127 0.214
3 2.217 5.000 133 133 0.00 0.057 0.100 0.457 0.077 0.094 0.118 0.132 3 2.433 5.000 146 146 0.00 0.059 0.109 0.623 0.079 0.097 0.138 0.168
5 3.600 8.000 216 216 0.00 0.056 0.125 0.432 0.076 0.103 0.211 0.231 5 3.850 8.000 231 231 0.00 0.060 0.125 0.610 0.079 0.105 0.192 0.257
10 7.067 11.000 424 424 0.00 0.056 0.181 0.876 0.077 0.139 0.328 0.423 10 6.967 10.000 418 418 0.00 0.059 0.229 1.044 0.082 0.175 0.442 0.633
15 9.967 18.000 598 598 0.00 0.057 0.308 1.024 0.100 0.263 0.577 0.693 15 9.867 14.000 592 592 0.00 0.058 0.327 1.205 0.094 0.257 0.694 0.871
20 11.667 17.000 700 700 0.00 0.055 0.495 1.333 0.182 0.468 0.824 0.913 20 11.267 18.000 676 676 0.00 0.061 0.594 1.680 0.261 0.529 1.034 1.182


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T120034-plone-4.0 and /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T151139-plip9250-jqtools-integration.cfg
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95 CUs-2 RPS-2 maxRPS-2 TOTAL-2 SUCCESS-2 ERROR-2 MIN-2 AVG-2 MAX-2 P10-2 MED-2 P90-2 P95-2
1 0.833 3.000 50 50 0.00 0.066 0.096 0.236 0.076 0.094 0.111 0.118 1 0.717 2.000 43 43 0.00 0.079 0.103 0.236 0.080 0.099 0.125 0.128
2 1.567 5.000 94 94 0.00 0.056 0.102 0.528 0.076 0.093 0.111 0.120 2 1.383 4.000 83 83 0.00 0.076 0.115 0.700 0.079 0.096 0.127 0.214
3 2.217 5.000 133 133 0.00 0.057 0.100 0.457 0.077 0.094 0.118 0.132 3 2.433 5.000 146 146 0.00 0.059 0.109 0.623 0.079 0.097 0.138 0.168
5 3.600 8.000 216 216 0.00 0.056 0.125 0.432 0.076 0.103 0.211 0.231 5 3.850 8.000 231 231 0.00 0.060 0.125 0.610 0.079 0.105 0.192 0.257
10 7.067 11.000 424 424 0.00 0.056 0.181 0.876 0.077 0.139 0.328 0.423 10 6.967 10.000 418 418 0.00 0.059 0.229 1.044 0.082 0.175 0.442 0.633
15 9.967 18.000 598 598 0.00 0.057 0.308 1.024 0.100 0.263 0.577 0.693 15 9.867 14.000 592 592 0.00 0.058 0.327 1.205 0.094 0.257 0.694 0.871
20 11.667 17.000 700 700 0.00 0.055 0.495 1.333 0.182 0.468 0.824 0.913 20 11.267 18.000 676 676 0.00 0.061 0.594 1.680 0.261 0.529 1.034 1.182
