# /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T120034-plone-4.0 vs /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T154406-plip9256-contentrules-variables.cfg
# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T120034-plone-4.0
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.833 3.000 50 50 0.00 0.066 0.096 0.236 0.076 0.094 0.111 0.118
2 1.567 5.000 94 94 0.00 0.056 0.102 0.528 0.076 0.093 0.111 0.120
3 2.217 5.000 133 133 0.00 0.057 0.100 0.457 0.077 0.094 0.118 0.132
5 3.600 8.000 216 216 0.00 0.056 0.125 0.432 0.076 0.103 0.211 0.231
10 7.067 11.000 424 424 0.00 0.056 0.181 0.876 0.077 0.139 0.328 0.423
15 9.967 18.000 598 598 0.00 0.057 0.308 1.024 0.100 0.263 0.577 0.693
20 11.667 17.000 700 700 0.00 0.055 0.495 1.333 0.182 0.468 0.824 0.913


# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T154406-plip9256-contentrules-variables.cfg
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.750 2.000 45 45 0.00 0.071 0.101 0.236 0.079 0.104 0.116 0.123
2 1.467 3.000 88 88 0.00 0.059 0.099 0.179 0.079 0.103 0.117 0.124
3 2.267 5.000 136 136 0.00 0.060 0.110 0.652 0.079 0.103 0.135 0.181
5 3.817 7.000 229 229 0.00 0.058 0.126 0.793 0.079 0.104 0.183 0.221
10 7.150 11.000 429 429 0.00 0.058 0.205 1.052 0.081 0.169 0.348 0.438
15 9.550 15.000 573 573 0.00 0.058 0.326 1.436 0.103 0.263 0.626 0.852
20 11.350 18.000 681 681 0.00 0.060 0.592 2.136 0.217 0.540 1.094 1.268


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T120034-plone-4.0
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.833 3.000 50 50 0.00 0.066 0.096 0.236 0.076 0.094 0.111 0.118
2 1.567 5.000 94 94 0.00 0.056 0.102 0.528 0.076 0.093 0.111 0.120
3 2.217 5.000 133 133 0.00 0.057 0.100 0.457 0.077 0.094 0.118 0.132
5 3.600 8.000 216 216 0.00 0.056 0.125 0.432 0.076 0.103 0.211 0.231
10 7.067 11.000 424 424 0.00 0.056 0.181 0.876 0.077 0.139 0.328 0.423
15 9.967 18.000 598 598 0.00 0.057 0.308 1.024 0.100 0.263 0.577 0.693
20 11.667 17.000 700 700 0.00 0.055 0.495 1.333 0.182 0.468 0.824 0.913


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T154406-plip9256-contentrules-variables.cfg
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.750 2.000 45 45 0.00 0.071 0.101 0.236 0.079 0.104 0.116 0.123
2 1.467 3.000 88 88 0.00 0.059 0.099 0.179 0.079 0.103 0.117 0.124
3 2.267 5.000 136 136 0.00 0.060 0.110 0.652 0.079 0.103 0.135 0.181
5 3.817 7.000 229 229 0.00 0.058 0.126 0.793 0.079 0.104 0.183 0.221
10 7.150 11.000 429 429 0.00 0.058 0.205 1.052 0.081 0.169 0.348 0.438
15 9.550 15.000 573 573 0.00 0.058 0.326 1.436 0.103 0.263 0.626 0.852
20 11.350 18.000 681 681 0.00 0.060 0.592 2.136 0.217 0.540 1.094 1.268


# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T120034-plone-4.0 and /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T154406-plip9256-contentrules-variables.cfg
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95 CUs-2 SPPS-2 maxSPPS-2 TOTAL-2 SUCCESS-2 ERROR-2 MIN-2 AVG-2 MAX-2 P10-2 MED-2 P90-2 P95-2
1 0.833 3.000 50 50 0.00 0.066 0.096 0.236 0.076 0.094 0.111 0.118 1 0.750 2.000 45 45 0.00 0.071 0.101 0.236 0.079 0.104 0.116 0.123
2 1.567 5.000 94 94 0.00 0.056 0.102 0.528 0.076 0.093 0.111 0.120 2 1.467 3.000 88 88 0.00 0.059 0.099 0.179 0.079 0.103 0.117 0.124
3 2.217 5.000 133 133 0.00 0.057 0.100 0.457 0.077 0.094 0.118 0.132 3 2.267 5.000 136 136 0.00 0.060 0.110 0.652 0.079 0.103 0.135 0.181
5 3.600 8.000 216 216 0.00 0.056 0.125 0.432 0.076 0.103 0.211 0.231 5 3.817 7.000 229 229 0.00 0.058 0.126 0.793 0.079 0.104 0.183 0.221
10 7.067 11.000 424 424 0.00 0.056 0.181 0.876 0.077 0.139 0.328 0.423 10 7.150 11.000 429 429 0.00 0.058 0.205 1.052 0.081 0.169 0.348 0.438
15 9.967 18.000 598 598 0.00 0.057 0.308 1.024 0.100 0.263 0.577 0.693 15 9.550 15.000 573 573 0.00 0.058 0.326 1.436 0.103 0.263 0.626 0.852
20 11.667 17.000 700 700 0.00 0.055 0.495 1.333 0.182 0.468 0.824 0.913 20 11.350 18.000 681 681 0.00 0.060 0.592 2.136 0.217 0.540 1.094 1.268


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T120034-plone-4.0 and /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T154406-plip9256-contentrules-variables.cfg
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95 CUs-2 RPS-2 maxRPS-2 TOTAL-2 SUCCESS-2 ERROR-2 MIN-2 AVG-2 MAX-2 P10-2 MED-2 P90-2 P95-2
1 0.833 3.000 50 50 0.00 0.066 0.096 0.236 0.076 0.094 0.111 0.118 1 0.750 2.000 45 45 0.00 0.071 0.101 0.236 0.079 0.104 0.116 0.123
2 1.567 5.000 94 94 0.00 0.056 0.102 0.528 0.076 0.093 0.111 0.120 2 1.467 3.000 88 88 0.00 0.059 0.099 0.179 0.079 0.103 0.117 0.124
3 2.217 5.000 133 133 0.00 0.057 0.100 0.457 0.077 0.094 0.118 0.132 3 2.267 5.000 136 136 0.00 0.060 0.110 0.652 0.079 0.103 0.135 0.181
5 3.600 8.000 216 216 0.00 0.056 0.125 0.432 0.076 0.103 0.211 0.231 5 3.817 7.000 229 229 0.00 0.058 0.126 0.793 0.079 0.104 0.183 0.221
10 7.067 11.000 424 424 0.00 0.056 0.181 0.876 0.077 0.139 0.328 0.423 10 7.150 11.000 429 429 0.00 0.058 0.205 1.052 0.081 0.169 0.348 0.438
15 9.967 18.000 598 598 0.00 0.057 0.308 1.024 0.100 0.263 0.577 0.693 15 9.550 15.000 573 573 0.00 0.058 0.326 1.436 0.103 0.263 0.626 0.852
20 11.667 17.000 700 700 0.00 0.055 0.495 1.333 0.182 0.468 0.824 0.913 20 11.350 18.000 681 681 0.00 0.060 0.592 2.136 0.217 0.540 1.094 1.268
