# /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T120034-plone-4.0 vs /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T161718-plip9258-referencebrowser.cfg
# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T120034-plone-4.0
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.833 3.000 50 50 0.00 0.066 0.096 0.236 0.076 0.094 0.111 0.118
2 1.567 5.000 94 94 0.00 0.056 0.102 0.528 0.076 0.093 0.111 0.120
3 2.217 5.000 133 133 0.00 0.057 0.100 0.457 0.077 0.094 0.118 0.132
5 3.600 8.000 216 216 0.00 0.056 0.125 0.432 0.076 0.103 0.211 0.231
10 7.067 11.000 424 424 0.00 0.056 0.181 0.876 0.077 0.139 0.328 0.423
15 9.967 18.000 598 598 0.00 0.057 0.308 1.024 0.100 0.263 0.577 0.693
20 11.667 17.000 700 700 0.00 0.055 0.495 1.333 0.182 0.468 0.824 0.913


# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T161718-plip9258-referencebrowser.cfg
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.717 2.000 43 43 0.00 0.080 0.102 0.234 0.081 0.097 0.122 0.125
2 1.533 4.000 92 92 0.00 0.074 0.108 0.674 0.080 0.105 0.123 0.164
3 2.333 5.000 140 140 0.00 0.060 0.118 0.816 0.081 0.106 0.160 0.194
5 3.767 7.000 226 226 0.00 0.060 0.128 0.827 0.080 0.107 0.197 0.215
10 7.133 12.000 428 428 0.00 0.060 0.224 1.248 0.082 0.174 0.398 0.564
15 9.517 16.000 571 571 0.00 0.060 0.362 1.358 0.108 0.301 0.706 0.959
20 10.983 16.000 659 659 0.00 0.061 0.640 1.812 0.244 0.603 1.079 1.244


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T120034-plone-4.0
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.833 3.000 50 50 0.00 0.066 0.096 0.236 0.076 0.094 0.111 0.118
2 1.567 5.000 94 94 0.00 0.056 0.102 0.528 0.076 0.093 0.111 0.120
3 2.217 5.000 133 133 0.00 0.057 0.100 0.457 0.077 0.094 0.118 0.132
5 3.600 8.000 216 216 0.00 0.056 0.125 0.432 0.076 0.103 0.211 0.231
10 7.067 11.000 424 424 0.00 0.056 0.181 0.876 0.077 0.139 0.328 0.423
15 9.967 18.000 598 598 0.00 0.057 0.308 1.024 0.100 0.263 0.577 0.693
20 11.667 17.000 700 700 0.00 0.055 0.495 1.333 0.182 0.468 0.824 0.913


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T161718-plip9258-referencebrowser.cfg
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.717 2.000 43 43 0.00 0.080 0.102 0.234 0.081 0.097 0.122 0.125
2 1.533 4.000 92 92 0.00 0.074 0.108 0.674 0.080 0.105 0.123 0.164
3 2.333 5.000 140 140 0.00 0.060 0.118 0.816 0.081 0.106 0.160 0.194
5 3.767 7.000 226 226 0.00 0.060 0.128 0.827 0.080 0.107 0.197 0.215
10 7.133 12.000 428 428 0.00 0.060 0.224 1.248 0.082 0.174 0.398 0.564
15 9.517 16.000 571 571 0.00 0.060 0.362 1.358 0.108 0.301 0.706 0.959
20 10.983 16.000 659 659 0.00 0.061 0.640 1.812 0.244 0.603 1.079 1.244


# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T120034-plone-4.0 and /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T161718-plip9258-referencebrowser.cfg
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95 CUs-2 SPPS-2 maxSPPS-2 TOTAL-2 SUCCESS-2 ERROR-2 MIN-2 AVG-2 MAX-2 P10-2 MED-2 P90-2 P95-2
1 0.833 3.000 50 50 0.00 0.066 0.096 0.236 0.076 0.094 0.111 0.118 1 0.717 2.000 43 43 0.00 0.080 0.102 0.234 0.081 0.097 0.122 0.125
2 1.567 5.000 94 94 0.00 0.056 0.102 0.528 0.076 0.093 0.111 0.120 2 1.533 4.000 92 92 0.00 0.074 0.108 0.674 0.080 0.105 0.123 0.164
3 2.217 5.000 133 133 0.00 0.057 0.100 0.457 0.077 0.094 0.118 0.132 3 2.333 5.000 140 140 0.00 0.060 0.118 0.816 0.081 0.106 0.160 0.194
5 3.600 8.000 216 216 0.00 0.056 0.125 0.432 0.076 0.103 0.211 0.231 5 3.767 7.000 226 226 0.00 0.060 0.128 0.827 0.080 0.107 0.197 0.215
10 7.067 11.000 424 424 0.00 0.056 0.181 0.876 0.077 0.139 0.328 0.423 10 7.133 12.000 428 428 0.00 0.060 0.224 1.248 0.082 0.174 0.398 0.564
15 9.967 18.000 598 598 0.00 0.057 0.308 1.024 0.100 0.263 0.577 0.693 15 9.517 16.000 571 571 0.00 0.060 0.362 1.358 0.108 0.301 0.706 0.959
20 11.667 17.000 700 700 0.00 0.055 0.495 1.333 0.182 0.468 0.824 0.913 20 10.983 16.000 659 659 0.00 0.061 0.640 1.812 0.244 0.603 1.079 1.244


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T120034-plone-4.0 and /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T161718-plip9258-referencebrowser.cfg
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95 CUs-2 RPS-2 maxRPS-2 TOTAL-2 SUCCESS-2 ERROR-2 MIN-2 AVG-2 MAX-2 P10-2 MED-2 P90-2 P95-2
1 0.833 3.000 50 50 0.00 0.066 0.096 0.236 0.076 0.094 0.111 0.118 1 0.717 2.000 43 43 0.00 0.080 0.102 0.234 0.081 0.097 0.122 0.125
2 1.567 5.000 94 94 0.00 0.056 0.102 0.528 0.076 0.093 0.111 0.120 2 1.533 4.000 92 92 0.00 0.074 0.108 0.674 0.080 0.105 0.123 0.164
3 2.217 5.000 133 133 0.00 0.057 0.100 0.457 0.077 0.094 0.118 0.132 3 2.333 5.000 140 140 0.00 0.060 0.118 0.816 0.081 0.106 0.160 0.194
5 3.600 8.000 216 216 0.00 0.056 0.125 0.432 0.076 0.103 0.211 0.231 5 3.767 7.000 226 226 0.00 0.060 0.128 0.827 0.080 0.107 0.197 0.215
10 7.067 11.000 424 424 0.00 0.056 0.181 0.876 0.077 0.139 0.328 0.423 10 7.133 12.000 428 428 0.00 0.060 0.224 1.248 0.082 0.174 0.398 0.564
15 9.967 18.000 598 598 0.00 0.057 0.308 1.024 0.100 0.263 0.577 0.693 15 9.517 16.000 571 571 0.00 0.060 0.362 1.358 0.108 0.301 0.706 0.959
20 11.667 17.000 700 700 0.00 0.055 0.495 1.333 0.182 0.468 0.824 0.913 20 10.983 16.000 659 659 0.00 0.061 0.640 1.812 0.244 0.603 1.079 1.244
