# /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T120034-plone-4.0 vs /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T165040-plip9259-group-dashboards.cfg
# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T120034-plone-4.0
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.833 3.000 50 50 0.00 0.066 0.096 0.236 0.076 0.094 0.111 0.118
2 1.567 5.000 94 94 0.00 0.056 0.102 0.528 0.076 0.093 0.111 0.120
3 2.217 5.000 133 133 0.00 0.057 0.100 0.457 0.077 0.094 0.118 0.132
5 3.600 8.000 216 216 0.00 0.056 0.125 0.432 0.076 0.103 0.211 0.231
10 7.067 11.000 424 424 0.00 0.056 0.181 0.876 0.077 0.139 0.328 0.423
15 9.967 18.000 598 598 0.00 0.057 0.308 1.024 0.100 0.263 0.577 0.693
20 11.667 17.000 700 700 0.00 0.055 0.495 1.333 0.182 0.468 0.824 0.913


# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T165040-plip9259-group-dashboards.cfg
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.750 2.000 45 45 0.00 0.079 0.101 0.234 0.080 0.100 0.120 0.124
2 1.483 3.000 89 89 0.00 0.060 0.119 0.811 0.080 0.105 0.140 0.207
3 2.267 4.000 136 136 0.00 0.060 0.107 0.687 0.080 0.104 0.124 0.154
5 3.733 8.000 224 224 0.00 0.060 0.131 0.772 0.080 0.107 0.195 0.239
10 7.100 11.000 426 426 0.00 0.059 0.216 1.347 0.083 0.171 0.381 0.501
15 9.833 15.000 590 590 0.00 0.059 0.375 1.659 0.120 0.314 0.711 0.956
20 10.917 16.000 655 655 0.00 0.060 0.631 1.732 0.241 0.577 1.120 1.268


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T120034-plone-4.0
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.833 3.000 50 50 0.00 0.066 0.096 0.236 0.076 0.094 0.111 0.118
2 1.567 5.000 94 94 0.00 0.056 0.102 0.528 0.076 0.093 0.111 0.120
3 2.217 5.000 133 133 0.00 0.057 0.100 0.457 0.077 0.094 0.118 0.132
5 3.600 8.000 216 216 0.00 0.056 0.125 0.432 0.076 0.103 0.211 0.231
10 7.067 11.000 424 424 0.00 0.056 0.181 0.876 0.077 0.139 0.328 0.423
15 9.967 18.000 598 598 0.00 0.057 0.308 1.024 0.100 0.263 0.577 0.693
20 11.667 17.000 700 700 0.00 0.055 0.495 1.333 0.182 0.468 0.824 0.913


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T165040-plip9259-group-dashboards.cfg
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.750 2.000 45 45 0.00 0.079 0.101 0.234 0.080 0.100 0.120 0.124
2 1.483 3.000 89 89 0.00 0.060 0.119 0.811 0.080 0.105 0.140 0.207
3 2.267 4.000 136 136 0.00 0.060 0.107 0.687 0.080 0.104 0.124 0.154
5 3.733 8.000 224 224 0.00 0.060 0.131 0.772 0.080 0.107 0.195 0.239
10 7.100 11.000 426 426 0.00 0.059 0.216 1.347 0.083 0.171 0.381 0.501
15 9.833 15.000 590 590 0.00 0.059 0.375 1.659 0.120 0.314 0.711 0.956
20 10.917 16.000 655 655 0.00 0.060 0.631 1.732 0.241 0.577 1.120 1.268


# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T120034-plone-4.0 and /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T165040-plip9259-group-dashboards.cfg
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95 CUs-2 SPPS-2 maxSPPS-2 TOTAL-2 SUCCESS-2 ERROR-2 MIN-2 AVG-2 MAX-2 P10-2 MED-2 P90-2 P95-2
1 0.833 3.000 50 50 0.00 0.066 0.096 0.236 0.076 0.094 0.111 0.118 1 0.750 2.000 45 45 0.00 0.079 0.101 0.234 0.080 0.100 0.120 0.124
2 1.567 5.000 94 94 0.00 0.056 0.102 0.528 0.076 0.093 0.111 0.120 2 1.483 3.000 89 89 0.00 0.060 0.119 0.811 0.080 0.105 0.140 0.207
3 2.217 5.000 133 133 0.00 0.057 0.100 0.457 0.077 0.094 0.118 0.132 3 2.267 4.000 136 136 0.00 0.060 0.107 0.687 0.080 0.104 0.124 0.154
5 3.600 8.000 216 216 0.00 0.056 0.125 0.432 0.076 0.103 0.211 0.231 5 3.733 8.000 224 224 0.00 0.060 0.131 0.772 0.080 0.107 0.195 0.239
10 7.067 11.000 424 424 0.00 0.056 0.181 0.876 0.077 0.139 0.328 0.423 10 7.100 11.000 426 426 0.00 0.059 0.216 1.347 0.083 0.171 0.381 0.501
15 9.967 18.000 598 598 0.00 0.057 0.308 1.024 0.100 0.263 0.577 0.693 15 9.833 15.000 590 590 0.00 0.059 0.375 1.659 0.120 0.314 0.711 0.956
20 11.667 17.000 700 700 0.00 0.055 0.495 1.333 0.182 0.468 0.824 0.913 20 10.917 16.000 655 655 0.00 0.060 0.631 1.732 0.241 0.577 1.120 1.268


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T120034-plone-4.0 and /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T165040-plip9259-group-dashboards.cfg
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95 CUs-2 RPS-2 maxRPS-2 TOTAL-2 SUCCESS-2 ERROR-2 MIN-2 AVG-2 MAX-2 P10-2 MED-2 P90-2 P95-2
1 0.833 3.000 50 50 0.00 0.066 0.096 0.236 0.076 0.094 0.111 0.118 1 0.750 2.000 45 45 0.00 0.079 0.101 0.234 0.080 0.100 0.120 0.124
2 1.567 5.000 94 94 0.00 0.056 0.102 0.528 0.076 0.093 0.111 0.120 2 1.483 3.000 89 89 0.00 0.060 0.119 0.811 0.080 0.105 0.140 0.207
3 2.217 5.000 133 133 0.00 0.057 0.100 0.457 0.077 0.094 0.118 0.132 3 2.267 4.000 136 136 0.00 0.060 0.107 0.687 0.080 0.104 0.124 0.154
5 3.600 8.000 216 216 0.00 0.056 0.125 0.432 0.076 0.103 0.211 0.231 5 3.733 8.000 224 224 0.00 0.060 0.131 0.772 0.080 0.107 0.195 0.239
10 7.067 11.000 424 424 0.00 0.056 0.181 0.876 0.077 0.139 0.328 0.423 10 7.100 11.000 426 426 0.00 0.059 0.216 1.347 0.083 0.171 0.381 0.501
15 9.967 18.000 598 598 0.00 0.057 0.308 1.024 0.100 0.263 0.577 0.693 15 9.833 15.000 590 590 0.00 0.059 0.375 1.659 0.120 0.314 0.711 0.956
20 11.667 17.000 700 700 0.00 0.055 0.495 1.333 0.182 0.468 0.824 0.913 20 10.917 16.000 655 655 0.00 0.060 0.631 1.732 0.241 0.577 1.120 1.268
