# /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T120034-plone-4.0 vs /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T172327-plip9263-sharing-gs.cfg
# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T120034-plone-4.0
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.833 3.000 50 50 0.00 0.066 0.096 0.236 0.076 0.094 0.111 0.118
2 1.567 5.000 94 94 0.00 0.056 0.102 0.528 0.076 0.093 0.111 0.120
3 2.217 5.000 133 133 0.00 0.057 0.100 0.457 0.077 0.094 0.118 0.132
5 3.600 8.000 216 216 0.00 0.056 0.125 0.432 0.076 0.103 0.211 0.231
10 7.067 11.000 424 424 0.00 0.056 0.181 0.876 0.077 0.139 0.328 0.423
15 9.967 18.000 598 598 0.00 0.057 0.308 1.024 0.100 0.263 0.577 0.693
20 11.667 17.000 700 700 0.00 0.055 0.495 1.333 0.182 0.468 0.824 0.913


# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T172327-plip9263-sharing-gs.cfg
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.800 2.000 48 48 0.00 0.072 0.116 0.908 0.080 0.098 0.125 0.125
2 1.500 3.000 90 90 0.00 0.060 0.114 0.729 0.080 0.105 0.126 0.192
3 2.183 6.000 131 131 0.00 0.060 0.113 0.748 0.081 0.104 0.151 0.193
5 3.717 7.000 223 223 0.00 0.060 0.139 0.984 0.080 0.111 0.205 0.241
10 6.950 11.000 417 417 0.00 0.060 0.227 1.303 0.081 0.152 0.421 0.866
15 9.467 16.000 568 568 0.00 0.061 0.394 1.602 0.119 0.320 0.777 1.081
20 11.017 17.000 661 661 0.00 0.071 0.612 1.723 0.239 0.541 1.103 1.296


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T120034-plone-4.0
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.833 3.000 50 50 0.00 0.066 0.096 0.236 0.076 0.094 0.111 0.118
2 1.567 5.000 94 94 0.00 0.056 0.102 0.528 0.076 0.093 0.111 0.120
3 2.217 5.000 133 133 0.00 0.057 0.100 0.457 0.077 0.094 0.118 0.132
5 3.600 8.000 216 216 0.00 0.056 0.125 0.432 0.076 0.103 0.211 0.231
10 7.067 11.000 424 424 0.00 0.056 0.181 0.876 0.077 0.139 0.328 0.423
15 9.967 18.000 598 598 0.00 0.057 0.308 1.024 0.100 0.263 0.577 0.693
20 11.667 17.000 700 700 0.00 0.055 0.495 1.333 0.182 0.468 0.824 0.913


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T172327-plip9263-sharing-gs.cfg
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.800 2.000 48 48 0.00 0.072 0.116 0.908 0.080 0.098 0.125 0.125
2 1.500 3.000 90 90 0.00 0.060 0.114 0.729 0.080 0.105 0.126 0.192
3 2.183 6.000 131 131 0.00 0.060 0.113 0.748 0.081 0.104 0.151 0.193
5 3.717 7.000 223 223 0.00 0.060 0.139 0.984 0.080 0.111 0.205 0.241
10 6.950 11.000 417 417 0.00 0.060 0.227 1.303 0.081 0.152 0.421 0.866
15 9.467 16.000 568 568 0.00 0.061 0.394 1.602 0.119 0.320 0.777 1.081
20 11.017 17.000 661 661 0.00 0.071 0.612 1.723 0.239 0.541 1.103 1.296


# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T120034-plone-4.0 and /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T172327-plip9263-sharing-gs.cfg
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95 CUs-2 SPPS-2 maxSPPS-2 TOTAL-2 SUCCESS-2 ERROR-2 MIN-2 AVG-2 MAX-2 P10-2 MED-2 P90-2 P95-2
1 0.833 3.000 50 50 0.00 0.066 0.096 0.236 0.076 0.094 0.111 0.118 1 0.800 2.000 48 48 0.00 0.072 0.116 0.908 0.080 0.098 0.125 0.125
2 1.567 5.000 94 94 0.00 0.056 0.102 0.528 0.076 0.093 0.111 0.120 2 1.500 3.000 90 90 0.00 0.060 0.114 0.729 0.080 0.105 0.126 0.192
3 2.217 5.000 133 133 0.00 0.057 0.100 0.457 0.077 0.094 0.118 0.132 3 2.183 6.000 131 131 0.00 0.060 0.113 0.748 0.081 0.104 0.151 0.193
5 3.600 8.000 216 216 0.00 0.056 0.125 0.432 0.076 0.103 0.211 0.231 5 3.717 7.000 223 223 0.00 0.060 0.139 0.984 0.080 0.111 0.205 0.241
10 7.067 11.000 424 424 0.00 0.056 0.181 0.876 0.077 0.139 0.328 0.423 10 6.950 11.000 417 417 0.00 0.060 0.227 1.303 0.081 0.152 0.421 0.866
15 9.967 18.000 598 598 0.00 0.057 0.308 1.024 0.100 0.263 0.577 0.693 15 9.467 16.000 568 568 0.00 0.061 0.394 1.602 0.119 0.320 0.777 1.081
20 11.667 17.000 700 700 0.00 0.055 0.495 1.333 0.182 0.468 0.824 0.913 20 11.017 17.000 661 661 0.00 0.071 0.612 1.723 0.239 0.541 1.103 1.296


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T120034-plone-4.0 and /home/xen/src/plone-coredev/plips/funkload/plips/test_ReadOnly-20090902T172327-plip9263-sharing-gs.cfg
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95 CUs-2 RPS-2 maxRPS-2 TOTAL-2 SUCCESS-2 ERROR-2 MIN-2 AVG-2 MAX-2 P10-2 MED-2 P90-2 P95-2
1 0.833 3.000 50 50 0.00 0.066 0.096 0.236 0.076 0.094 0.111 0.118 1 0.800 2.000 48 48 0.00 0.072 0.116 0.908 0.080 0.098 0.125 0.125
2 1.567 5.000 94 94 0.00 0.056 0.102 0.528 0.076 0.093 0.111 0.120 2 1.500 3.000 90 90 0.00 0.060 0.114 0.729 0.080 0.105 0.126 0.192
3 2.217 5.000 133 133 0.00 0.057 0.100 0.457 0.077 0.094 0.118 0.132 3 2.183 6.000 131 131 0.00 0.060 0.113 0.748 0.081 0.104 0.151 0.193
5 3.600 8.000 216 216 0.00 0.056 0.125 0.432 0.076 0.103 0.211 0.231 5 3.717 7.000 223 223 0.00 0.060 0.139 0.984 0.080 0.111 0.205 0.241
10 7.067 11.000 424 424 0.00 0.056 0.181 0.876 0.077 0.139 0.328 0.423 10 6.950 11.000 417 417 0.00 0.060 0.227 1.303 0.081 0.152 0.421 0.866
15 9.967 18.000 598 598 0.00 0.057 0.308 1.024 0.100 0.263 0.577 0.693 15 9.467 16.000 568 568 0.00 0.061 0.394 1.602 0.119 0.320 0.777 1.081
20 11.667 17.000 700 700 0.00 0.055 0.495 1.333 0.182 0.468 0.824 0.913 20 11.017 17.000 661 661 0.00 0.071 0.612 1.723 0.239 0.541 1.103 1.296
