# /home/xen/src/plone-coredev/plips/funkload/plips/test_WriteHeavy-20090902T120844-plone-4.0 vs /home/xen/src/plone-coredev/plips/funkload/plips/test_WriteHeavy-20090902T134115-plip9186-image-ids-from-titles.cfg
# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_WriteHeavy-20090902T120844-plone-4.0
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.808 3.000 97 97 0.00 0.009 0.199 0.853 0.010 0.104 0.581 0.664
2 1.508 4.000 181 181 0.00 0.009 0.232 2.331 0.011 0.105 0.628 0.673
3 2.108 4.000 253 253 0.00 0.009 0.278 3.919 0.019 0.121 0.681 0.910
5 3.108 7.000 373 373 0.00 0.009 0.511 6.759 0.044 0.224 1.144 2.128
10 3.625 11.000 451 435 3.55 0.009 1.185 11.753 0.133 0.735 3.207 3.961


# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_WriteHeavy-20090902T134115-plip9186-image-ids-from-titles.cfg
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.733 2.000 88 88 0.00 0.009 0.200 0.992 0.010 0.108 0.552 0.648
2 1.558 4.000 187 187 0.00 0.009 0.242 2.370 0.010 0.106 0.641 0.766
3 2.192 5.000 263 263 0.00 0.009 0.274 3.244 0.019 0.130 0.698 0.930
5 2.942 7.000 353 353 0.00 0.009 0.561 10.409 0.026 0.193 1.360 2.253
10 3.533 11.000 439 424 3.42 0.010 1.242 13.389 0.145 0.610 3.214 5.237


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_WriteHeavy-20090902T120844-plone-4.0
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 1.017 3.000 122 122 0.00 0.009 0.158 0.581 0.010 0.117 0.287 0.459
2 1.908 5.000 229 229 0.00 0.008 0.184 1.639 0.010 0.126 0.429 0.480
3 2.658 6.000 319 319 0.00 0.008 0.220 3.919 0.011 0.126 0.468 0.633
5 3.925 7.000 471 471 0.00 0.008 0.404 6.426 0.031 0.227 0.711 1.440
10 4.475 11.000 537 521 2.98 0.009 1.324 15.110 0.130 0.730 2.423 4.297


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_WriteHeavy-20090902T134115-plip9186-image-ids-from-titles.cfg
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.933 3.000 112 112 0.00 0.009 0.157 0.786 0.010 0.117 0.292 0.454
2 1.967 4.000 236 236 0.00 0.008 0.192 2.121 0.010 0.119 0.441 0.493
3 2.758 6.000 331 331 0.00 0.008 0.218 2.892 0.018 0.147 0.469 0.630
5 3.708 8.000 445 445 0.00 0.008 0.445 10.186 0.024 0.201 0.826 1.655
10 4.350 11.000 522 507 2.87 0.010 1.376 15.807 0.146 0.649 2.936 5.129


# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_WriteHeavy-20090902T120844-plone-4.0 and /home/xen/src/plone-coredev/plips/funkload/plips/test_WriteHeavy-20090902T134115-plip9186-image-ids-from-titles.cfg
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95 CUs-2 SPPS-2 maxSPPS-2 TOTAL-2 SUCCESS-2 ERROR-2 MIN-2 AVG-2 MAX-2 P10-2 MED-2 P90-2 P95-2
