# /home/xen/src/plone-coredev/plips/funkload/plips/test_WriteHeavy-20090902T120844-plone-4.0 vs /home/xen/src/plone-coredev/plips/funkload/plips/test_WriteHeavy-20090902T173132-plip9263-sharing-gs.cfg
# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_WriteHeavy-20090902T120844-plone-4.0
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.808 3.000 97 97 0.00 0.009 0.199 0.853 0.010 0.104 0.581 0.664
2 1.508 4.000 181 181 0.00 0.009 0.232 2.331 0.011 0.105 0.628 0.673
3 2.108 4.000 253 253 0.00 0.009 0.278 3.919 0.019 0.121 0.681 0.910
5 3.108 7.000 373 373 0.00 0.009 0.511 6.759 0.044 0.224 1.144 2.128
10 3.625 11.000 451 435 3.55 0.009 1.185 11.753 0.133 0.735 3.207 3.961


# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_WriteHeavy-20090902T173132-plip9263-sharing-gs.cfg
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.733 2.000 88 88 0.00 0.010 0.211 1.250 0.010 0.102 0.689 0.708
2 1.525 4.000 185 183 1.08 0.009 0.241 2.107 0.020 0.102 0.695 0.855
3 2.117 4.000 254 254 0.00 0.009 0.276 2.272 0.020 0.126 0.727 1.031
5 3.208 8.000 387 385 0.52 0.010 0.464 5.273 0.055 0.178 1.109 1.992
10 3.258 10.000 407 391 3.93 0.010 1.369 15.953 0.154 0.822 3.338 4.822


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_WriteHeavy-20090902T120844-plone-4.0
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 1.017 3.000 122 122 0.00 0.009 0.158 0.581 0.010 0.117 0.287 0.459
2 1.908 5.000 229 229 0.00 0.008 0.184 1.639 0.010 0.126 0.429 0.480
3 2.658 6.000 319 319 0.00 0.008 0.220 3.919 0.011 0.126 0.468 0.633
5 3.925 7.000 471 471 0.00 0.008 0.404 6.426 0.031 0.227 0.711 1.440
10 4.475 11.000 537 521 2.98 0.009 1.324 15.110 0.130 0.730 2.423 4.297


# Request stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_WriteHeavy-20090902T173132-plip9263-sharing-gs.cfg
# CUs RPS maxRPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95
1 0.933 3.000 112 112 0.00 0.008 0.166 0.987 0.010 0.106 0.318 0.485
2 1.917 5.000 230 228 0.87 0.008 0.198 1.871 0.011 0.109 0.398 0.543
3 2.675 5.000 321 321 0.00 0.008 0.218 1.837 0.017 0.135 0.485 0.575
5 4.058 8.000 487 485 0.41 0.008 0.371 5.006 0.042 0.208 0.770 1.318
10 3.992 10.000 479 463 3.34 0.010 1.517 15.896 0.165 0.822 2.738 5.894


# Page stat for: /home/xen/src/plone-coredev/plips/funkload/plips/test_WriteHeavy-20090902T120844-plone-4.0 and /home/xen/src/plone-coredev/plips/funkload/plips/test_WriteHeavy-20090902T173132-plip9263-sharing-gs.cfg
# CUs SPPS maxSPPS TOTAL SUCCESS ERROR MIN AVG MAX P10 MED P90 P95 CUs-2 SPPS-2 maxSPPS-2 TOTAL-2 SUCCESS-2 ERROR-2 MIN-2 AVG-2 MAX-2 P10-2 MED-2 P90-2 P95-2
1 0.808 3.000 97 97 0.00 0.009 0.199 0.853 0.010 0.104 0.581 0.664 1 0.733 2.000 88 88 0.00 0.010 0.211 1.250 0.010 0.102 0.689 0.708
